job_id,job_title,required_skills,rule_ai_tag,rule_reason
AI00002,AI Software Engineer,"Deep Learning, AWS, Mathematics, Python, Docker",1,规则匹配: AI Software Engineer
AI00003,AI Specialist,"Kubernetes, Deep Learning, Java, Hadoop, NLP",1,规则匹配: AI Specialist
AI00005,AI Consultant,"MLOps, Java, Tableau, Python",0,规则匹配: AI Consultant
AI00006,AI Architect,"Data Visualization, R, SQL, Linux",1,规则匹配: AI Architect
AI00007,Principal Data Scientist,"R, Docker, MLOps",1,Data Scientist with ML skills
AI00010,AI Software Engineer,"MLOps, GCP, Scala, Azure, Linux",1,规则匹配: AI Software Engineer
AI00012,AI Architect,"R, Data Visualization, Python, Azure",1,规则匹配: AI Architect
AI00013,AI Consultant,"Tableau, Python, TensorFlow",0,规则匹配: AI Consultant
AI00016,AI Product Manager,"Linux, Statistics, Deep Learning",0,规则匹配: AI Product Manager
AI00017,Principal Data Scientist,"Tableau, NLP, Spark",1,Data Scientist with ML skills
AI00024,AI Product Manager,"Git, Hadoop, Docker",0,规则匹配: AI Product Manager
AI00037,AI Architect,"Data Visualization, Tableau, AWS, Mathematics, Python",1,规则匹配: AI Architect
AI00039,AI Specialist,"Tableau, Docker, GCP",1,规则匹配: AI Specialist
AI00042,AI Architect,"Java, Mathematics, SQL",1,规则匹配: AI Architect
AI00043,AI Specialist,"Spark, Mathematics, GCP",1,规则匹配: AI Specialist
AI00048,AI Software Engineer,"Java, Azure, GCP",1,规则匹配: AI Software Engineer
AI00049,AI Specialist,"Deep Learning, Git, Data Visualization, Linux, Java",1,规则匹配: AI Specialist
AI00050,AI Consultant,"Hadoop, AWS, Linux, Docker, Statistics",0,规则匹配: AI Consultant
AI00051,AI Architect,"Deep Learning, SQL, Mathematics",1,规则匹配: AI Architect
AI00056,AI Architect,"Azure, Kubernetes, TensorFlow, Statistics, Spark",1,规则匹配: AI Architect
AI00060,AI Software Engineer,"R, Spark, AWS",1,规则匹配: AI Software Engineer
AI00063,AI Consultant,"TensorFlow, Scala, Docker, Statistics",0,规则匹配: AI Consultant
AI00064,AI Software Engineer,"Java, R, Deep Learning, NLP, Azure",1,规则匹配: AI Software Engineer
AI00066,AI Specialist,"Mathematics, Spark, Python, AWS",1,规则匹配: AI Specialist
AI00070,Principal Data Scientist,"MLOps, Kubernetes, Git, Python",1,Data Scientist with ML skills
AI00077,AI Product Manager,"Kubernetes, Spark, Statistics, Scala",0,规则匹配: AI Product Manager
AI00088,AI Specialist,"R, NLP, SQL, GCP",1,规则匹配: AI Specialist
AI00089,Principal Data Scientist,"Spark, SQL, Python, Mathematics, Linux",1,Data Scientist default
AI00090,AI Software Engineer,"PyTorch, Hadoop, Scala, Computer Vision",1,规则匹配: AI Software Engineer
AI00093,Principal Data Scientist,"Computer Vision, PyTorch, GCP, Linux",1,Data Scientist with ML skills
AI00101,AI Product Manager,"Scala, Git, Java",0,规则匹配: AI Product Manager
AI00102,AI Product Manager,"Azure, AWS, PyTorch, GCP, Hadoop",0,规则匹配: AI Product Manager
AI00110,AI Specialist,"PyTorch, Docker, GCP",1,规则匹配: AI Specialist
AI00112,AI Architect,"TensorFlow, Linux, SQL, Hadoop",1,规则匹配: AI Architect
AI00119,AI Software Engineer,"MLOps, R, Git, Mathematics",1,规则匹配: AI Software Engineer
AI00120,AI Product Manager,"Linux, Scala, SQL, Git",0,规则匹配: AI Product Manager
AI00121,AI Specialist,"Git, Deep Learning, Kubernetes, Linux, GCP",1,规则匹配: AI Specialist
