salary_usd,Log_Salary,years_experience,Experience_Scaled,AI_Skill_Requirement,Industry_Automotive,Industry_Consulting,Industry_Education,Industry_Energy,Industry_Finance,Industry_Gaming,Industry_Government,Industry_Healthcare,Industry_Manufacturing,Industry_Media,Industry_Real Estate,Industry_Retail,Industry_Technology,Industry_Telecommunications,Industry_Transportation
90376,11.411734024406766,9,0.4736842105263157,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
61895,11.033194679965913,1,0.0526315789473684,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
152626,11.935745763398094,2,0.1052631578947368,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
80215,11.292465808785176,7,0.3684210526315789,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
54624,10.908228625594168,0,0.0,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
123574,11.724595445890747,7,0.3684210526315789,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
79670,11.285648382374411,3,0.1578947368421052,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
70640,11.16535183527784,0,0.0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
160710,11.987356777543116,7,0.3684210526315789,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
102557,11.538174020556626,5,0.2631578947368421,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
102322,11.535879982582411,8,0.4210526315789473,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
115047,11.65309601950424,15,0.7894736842105263,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
124355,11.73089565751044,5,0.2631578947368421,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
68760,11.138377459496786,0,0.0,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
150122,11.919203575835404,6,0.3157894736842105,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
78846,11.275251861871691,0,0.0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
